iter	Passed	Remaining
0	152	152265
1	162	81118
2	174	57981
3	184	45817
4	194	38721
5	205	33984
6	215	30509
7	226	28045
8	235	25917
9	245	24281
10	256	23071
11	265	21871
12	275	20889
13	286	20167
14	293	19283
15	303	18693
16	311	18017
17	322	17586
18	331	17096
19	340	16683
20	351	16409
21	359	15987
22	371	15760
23	379	15420
24	388	15146
25	397	14897
26	407	14674
27	418	14523
28	425	14255
29	437	14143
30	448	14027
31	457	13836
32	470	13785
33	482	13702
34	490	13527
35	503	13474
36	515	13419
37	523	13249
38	535	13183
39	546	13105
40	553	12946
41	564	12879
42	573	12761
43	583	12678
44	593	12594
45	603	12507
46	614	12467
47	626	12427
48	635	12328
49	646	12287
50	655	12205
51	665	12127
52	676	12084
53	683	11982
54	695	11944
55	703	11853
56	712	11793
57	721	11717
58	731	11672
59	744	11661
60	752	11585
61	762	11531
62	770	11456
63	779	11404
64	789	11359
65	798	11298
66	808	11261
67	817	11202
68	827	11170
69	838	11134
70	846	11071
71	857	11058
72	871	11066
73	879	11009
74	893	11020
75	906	11019
76	918	11008
77	934	11043
78	944	11016
79	957	11010
80	969	10999
81	977	10946
82	989	10932
83	1003	10938
84	1015	10929
85	1028	10927
86	1041	10934
87	1054	10926
88	1069	10948
89	1082	10941
90	1093	10918
91	1106	10918
92	1116	10892
93	1128	10880
94	1141	10873
95	1154	10872
96	1165	10854
97	1174	10814
98	1186	10799
99	1201	10813
100	1209	10767
101	1220	10742
102	1228	10702
103	1237	10663
104	1247	10637
105	1257	10605
106	1268	10588
107	1278	10556
108	1287	10521
109	1298	10505
110	1306	10466
111	1316	10441
112	1326	10409
113	1336	10390
114	1348	10374
115	1357	10348
116	1366	10315
117	1375	10284
118	1383	10244
119	1394	10226
120	1408	10229
121	1422	10236
122	1437	10248
123	1450	10248
124	1461	10229
125	1473	10221
126	1484	10204
127	1496	10197
128	1505	10161
129	1517	10155
130	1530	10151
131	1541	10136
132	1551	10111
133	1563	10102
134	1571	10066
135	1581	10045
136	1592	10029
137	1600	9996
138	1612	9989
139	1623	9970
140	1632	9945
141	1644	9934
142	1652	9903
143	1662	9881
144	1672	9859
145	1680	9831
146	1691	9815
147	1699	9783
148	1708	9759
149	1716	9726
150	1726	9709
151	1737	9694
152	1746	9665
153	1757	9656
154	1767	9637
155	1777	9615
156	1788	9601
157	1812	9659
158	1828	9672
159	1841	9666
160	1854	9661
161	1872	9688
162	1885	9682
163	1895	9659
164	1905	9640
165	1920	9647
166	1928	9618
167	1937	9597
168	1945	9566
169	1954	9540
170	1961	9510
171	1970	9485
172	1978	9455
173	1986	9429
174	1995	9405
175	2004	9385
176	2012	9359
177	2023	9345
178	2034	9331
179	2042	9305
180	2052	9288
181	2064	9277
182	2072	9251
183	2081	9229
184	2089	9204
185	2098	9183
186	2107	9162
187	2117	9145
188	2125	9121
189	2135	9102
190	2144	9084
191	2153	9062
192	2163	9048
193	2172	9026
194	2182	9010
195	2191	8991
196	2200	8971
197	2210	8951
198	2219	8933
199	2231	8925
200	2239	8901
201	2249	8888
202	2259	8871
203	2268	8852
204	2278	8835
205	2286	8813
206	2297	8801
207	2305	8780
208	2315	8762
209	2328	8758
210	2345	8770
211	2357	8763
212	2369	8753
213	2381	8747
214	2394	8744
215	2404	8728
216	2416	8718
217	2429	8713
218	2442	8711
219	2453	8697
220	2463	8683
221	2477	8681
222	2487	8668
223	2497	8653
224	2510	8645
225	2521	8636
226	2530	8615
227	2542	8607
228	2553	8597
229	2563	8582
230	2576	8575
231	2586	8562
232	2596	8548
233	2607	8536
234	2617	8522
235	2625	8501
236	2634	8482
237	2642	8461
238	2652	8444
239	2660	8424
240	2669	8407
241	2677	8386
242	2686	8369
243	2694	8347
244	2703	8329
245	2710	8308
246	2718	8287
247	2725	8264
248	2734	8248
249	2742	8227
250	2753	8215
251	2761	8198
252	2770	8179
253	2777	8158
254	2785	8138
255	2793	8117
256	2801	8099
257	2808	8077
258	2818	8062
259	2825	8042
260	2834	8025
261	2843	8009
262	2852	7993
263	2860	7975
264	2868	7956
265	2877	7940
266	2886	7924
267	2895	7908
268	2903	7891
269	2912	7874
270	2920	7856
271	2928	7838
272	2935	7817
273	2944	7801
274	2952	7784
275	2960	7766
276	2968	7748
277	2976	7730
278	2984	7711
279	2991	7693
280	2998	7673
281	3006	7654
282	3014	7636
283	3021	7617
284	3029	7600
285	3036	7580
286	3045	7565
287	3052	7545
288	3060	7530
289	3068	7512
290	3077	7499
291	3085	7481
292	3094	7466
293	3101	7449
294	3111	7435
295	3119	7419
296	3128	7405
297	3136	7387
298	3145	7374
299	3154	7359
300	3162	7344
301	3171	7329
302	3180	7315
303	3188	7300
304	3196	7283
305	3205	7270
306	3213	7254
307	3222	7240
308	3230	7224
309	3240	7211
310	3248	7197
311	3259	7186
312	3268	7173
313	3277	7160
314	3286	7147
315	3295	7132
316	3303	7117
317	3311	7102
318	3319	7086
319	3327	7071
320	3336	7056
321	3343	7040
322	3351	7025
323	3360	7012
324	3370	6999
325	3378	6984
326	3387	6972
327	3395	6955
328	3403	6941
329	3411	6927
330	3421	6914
331	3428	6898
